time,instruction,cpu-cycle,armv8_pmuv3/stall_backen,armv8_pmuv3/stall_fronten,armv8_pmuv3/br_mis_pre,armv8_pmuv3/br_pre,armv8_pmuv3/br_retire,armv8_pmuv3/inst_spe,armv8_pmuv3/inst_retire,armv8_pmuv3/l1d_cach,armv8_pmuv3/l1d_cache_refil,armv8_pmuv3/l1d_cache_w,armv8_pmuv3/l1d_tl,armv8_pmuv3/l1d_tlb_refil,armv8_pmuv3/l1i_cach,armv8_pmuv3/l1i_cache_refil,armv8_pmuv3/l1i_tl,armv8_pmuv3/l1i_tlb_refil,armv8_pmuv3/l2d_cach,armv8_pmuv3/l2d_cache_allocat,armv8_pmuv3/l2d_cache_refil,armv8_pmuv3/l2d_cache_w,armv8_pmuv3/l2d_tl,armv8_pmuv3/l2d_tlb_refil,armv8_pmuv3/l3d_cach,armv8_pmuv3/l3d_cache_allocat,armv8_pmuv3/l3d_cache_refil,armv8_pmuv3/l3d_cache_w,armv8_pmuv3/mem_acces
1626.29,239009082.0,78550390.0,12520589.0,6989383.0,156377.0,44734021.0,44363565.0,247137817.0,234629672.0,108312673.0,909366.0,164850.0,111026954.0,737140.0,55211981.0,847721.0,36936577.0,159747.0,2749386.0,0.0,199542.0,975634.0,922974.0,915.0,1922220.0,1050009.0,3576.0,0.0,108201204.0
1626.6,238603708.0,78557805.0,12541799.0,7132181.0,156655.0,44411851.0,44052270.0,246025500.0,234100097.0,108426086.0,923160.0,162691.0,111418132.0,743074.0,54766752.0,866092.0,37172508.0,157049.0,2658026.0,0.0,202973.0,988281.0,914977.0,712.0,2023435.0,1049038.0,3724.0,0.0,108414784.0
1626.8600000000001,239280142.0,78504526.0,12715925.0,7124175.0,166062.0,44738406.0,44475173.0,247655562.0,237421951.0,109013519.0,917965.0,163344.0,110465617.0,734068.0,55091771.0,842946.0,37044254.0,157982.0,2749706.0,0.0,199985.0,962295.0,912612.0,2031.0,2025287.0,1036621.0,2078.0,0.0,108704370.0
1627.2,239912207.0,78623880.0,12745588.0,6979130.0,152797.0,44387684.0,44391697.0,246620625.0,236083381.0,108135752.0,921977.0,158184.0,111419949.0,738244.0,54745385.0,858912.0,37046214.0,154212.0,2710938.0,0.0,212825.0,992606.0,906877.0,764.0,1985551.0,1008043.0,3599.0,0.0,108287774.0
1627.6,237357436.0,78386106.0,12729465.0,7103630.0,151724.0,44317940.0,43867738.0,247637027.0,234659611.0,107994985.0,912570.0,163042.0,111696932.0,719291.0,55278824.0,843580.0,36864357.0,157151.0,2650907.0,0.0,218431.0,1006339.0,905291.0,873.0,1979542.0,1026516.0,11319.0,0.0,108201982.0
1627.85,239806379.0,78685979.0,12790205.0,6989788.0,159878.0,44755941.0,44548690.0,244431588.0,235586774.0,109237163.0,917238.0,164090.0,110952072.0,745152.0,55075586.0,859618.0,36842619.0,154198.0,2683236.0,0.0,204348.0,978350.0,905634.0,2181.0,1965408.0,1054089.0,3173.0,0.0,108026270.0
1628.12,237405061.0,78493806.0,12776870.0,7126538.0,155279.0,44290494.0,44296135.0,245450557.0,235428218.0,108289867.0,922706.0,163322.0,111707977.0,733459.0,54793757.0,893423.0,37114714.0,157231.0,2696922.0,0.0,206831.0,1013244.0,921560.0,789.0,1962819.0,1025575.0,6456.0,0.0,108739207.0
1628.41,237792943.0,78296044.0,12749447.0,7186112.0,163551.0,44510561.0,44390779.0,246561494.0,235784441.0,108074786.0,906865.0,164147.0,111189254.0,736231.0,55149203.0,855079.0,37047246.0,158834.0,2680531.0,0.0,198050.0,953633.0,917337.0,2153.0,2011114.0,1052507.0,2621.0,0.0,107819017.0
1628.7,239990099.0,78641100.0,12755258.0,6985254.0,153613.0,44233957.0,44432676.0,243992363.0,234222667.0,108096178.0,914156.0,165601.0,111026466.0,739431.0,54946252.0,862587.0,37014147.0,156538.0,2708853.0,0.0,214967.0,987674.0,911956.0,813.0,1889700.0,1030260.0,4573.0,0.0,108441101.0
1628.9499999999998,238135622.0,78517307.0,12567834.0,7211755.0,168260.0,44582676.0,44337492.0,246615264.0,237098538.0,109514303.0,930152.0,162967.0,111470427.0,739919.0,55203468.0,852688.0,37081142.0,160110.0,2753554.0,0.0,213388.0,947428.0,893880.0,2184.0,2016094.0,1051149.0,2265.0,0.0,107871096.0
1629.29,236851653.0,78459261.0,12676990.0,7124394.0,157590.0,44556883.0,44337999.0,246077701.0,234747019.0,108833107.0,916972.0,159620.0,110980725.0,732095.0,55132287.0,835837.0,36945548.0,157236.0,2716673.0,0.0,202327.0,982606.0,901577.0,990.0,1975495.0,1050767.0,2261.0,0.0,107893437.0
1629.6000000000001,235152070.0,77968668.0,12769185.0,7138208.0,153626.0,44413217.0,43991896.0,247948124.0,235520686.0,108598095.0,923591.0,160658.0,111149837.0,715996.0,55204409.0,868919.0,37226628.0,156878.0,2644219.0,0.0,211180.0,1000862.0,906081.0,854.0,2015014.0,1056180.0,3677.0,0.0,108353674.0
