time,instruction,cpu-cycle,armv8_pmuv3/stall_backen,armv8_pmuv3/stall_fronten,armv8_pmuv3/br_mis_pre,armv8_pmuv3/br_pre,armv8_pmuv3/br_retire,armv8_pmuv3/inst_spe,armv8_pmuv3/inst_retire,armv8_pmuv3/l1d_cach,armv8_pmuv3/l1d_cache_refil,armv8_pmuv3/l1d_cache_w,armv8_pmuv3/l1d_tl,armv8_pmuv3/l1d_tlb_refil,armv8_pmuv3/l1i_cach,armv8_pmuv3/l1i_cache_refil,armv8_pmuv3/l1i_tl,armv8_pmuv3/l1i_tlb_refil,armv8_pmuv3/l2d_cach,armv8_pmuv3/l2d_cache_allocat,armv8_pmuv3/l2d_cache_refil,armv8_pmuv3/l2d_cache_w,armv8_pmuv3/l2d_tl,armv8_pmuv3/l2d_tlb_refil,armv8_pmuv3/l3d_cach,armv8_pmuv3/l3d_cache_allocat,armv8_pmuv3/l3d_cache_refil,armv8_pmuv3/l3d_cache_w,armv8_pmuv3/mem_acces
0.09,50833802.0,30757058.0,2541822.0,10470574.0,514982.0,12126042.0,11191007.0,67755513.0,49936759.0,20164566.0,224094.0,135595.0,22234542.0,178063.0,17998017.0,948245.0,15210341.0,226276.0,1573580.0,1082.0,456680.0,705030.0,462829.0,5191.0,1465301.0,731361.0,61625.0,0.0,20803421.0
0.11,54221495.0,25989004.0,2636517.0,6874116.0,341683.0,13550236.0,12717245.0,67605668.0,54759254.0,19439460.0,246740.0,125188.0,20754632.0,234478.0,16674657.0,664846.0,12567297.0,187817.0,1328688.0,758.0,283922.0,553362.0,456606.0,3881.0,1136810.0,567041.0,26714.0,0.0,19717166.0
0.24000000000000002,76668234.0,38570440.0,4008180.0,11082108.0,525217.0,19567981.0,18009643.0,94361329.0,76373412.0,26649408.0,410396.0,165016.0,28409176.0,344783.0,23725181.0,1077508.0,18120254.0,289163.0,2143835.0,341.0,496346.0,906245.0,682917.0,6183.0,1843544.0,952568.0,50066.0,0.0,26475677.0
0.33,65478349.0,38032648.0,3692086.0,11944432.0,551487.0,15643229.0,14326885.0,83438420.0,64956331.0,26065615.0,284008.0,146048.0,28283172.0,317520.0,22240502.0,1218439.0,19314286.0,315354.0,1978893.0,802.0,562111.0,890800.0,707712.0,8965.0,1875078.0,917092.0,41021.0,0.0,26300064.0
0.42000000000000004,75819354.0,38163102.0,4130817.0,9774629.0,478827.0,18162513.0,16815083.0,93487278.0,76435104.0,29405786.0,257939.0,194921.0,31455367.0,243623.0,24674646.0,838130.0,20225062.0,211989.0,1662085.0,644.0,413572.0,716802.0,506813.0,11249.0,1387168.0,741205.0,63607.0,0.0,29216490.0
0.51,78596768.0,41843437.0,4714869.0,11007877.0,576465.0,18930007.0,17207533.0,99206443.0,78294304.0,31262399.0,296733.0,202940.0,33627705.0,332417.0,25659927.0,977125.0,21014016.0,260426.0,1891588.0,4310.0,407692.0,798541.0,719368.0,10219.0,1815022.0,826307.0,95204.0,0.0,31381594.0
0.39,48393953.0,26064498.0,4139459.0,6699298.0,323774.0,11584099.0,10606168.0,59910052.0,47196616.0,18578922.0,180437.0,105974.0,20300839.0,233454.0,15020171.0,609964.0,12057969.0,154841.0,1178539.0,3316.0,292440.0,484925.0,430804.0,7612.0,1060377.0,521700.0,47341.0,0.0,19269977.0
0.43,74736644.0,28068404.0,5787188.0,2648405.0,120519.0,14401952.0,13602484.0,80685948.0,73787901.0,24186560.0,152947.0,82740.0,25164078.0,374345.0,18346895.0,345800.0,11390974.0,142821.0,858488.0,91.0,77701.0,172219.0,552760.0,4616.0,380686.0,168258.0,22712.0,0.0,24618473.0
0.47,66065706.0,27640486.0,5995974.0,3598990.0,172639.0,15425245.0,14608932.0,75319169.0,64741131.0,24990045.0,198497.0,104370.0,26194093.0,423234.0,17917509.0,354740.0,12578442.0,153778.0,996855.0,1.0,100457.0,234953.0,631004.0,8834.0,473723.0,208068.0,41901.0,0.0,25156299.0
0.51,73709965.0,27920547.0,6236849.0,2591751.0,84994.0,16700959.0,16257088.0,79519525.0,72003499.0,27212946.0,149946.0,77016.0,28520590.0,410403.0,18807865.0,393676.0,12968729.0,166447.0,938461.0,0.0,48108.0,109669.0,586649.0,5336.0,276292.0,128956.0,23864.0,0.0,27205418.0
