time,instruction,cpu-cycle,armv8_pmuv3/stall_backen,armv8_pmuv3/stall_fronten,armv8_pmuv3/br_mis_pre,armv8_pmuv3/br_pre,armv8_pmuv3/br_retire,armv8_pmuv3/inst_spe,armv8_pmuv3/inst_retire,armv8_pmuv3/l1d_cach,armv8_pmuv3/l1d_cache_refil,armv8_pmuv3/l1d_cache_w,armv8_pmuv3/l1d_tl,armv8_pmuv3/l1d_tlb_refil,armv8_pmuv3/l1i_cach,armv8_pmuv3/l1i_cache_refil,armv8_pmuv3/l1i_tl,armv8_pmuv3/l1i_tlb_refil,armv8_pmuv3/l2d_cach,armv8_pmuv3/l2d_cache_allocat,armv8_pmuv3/l2d_cache_refil,armv8_pmuv3/l2d_cache_w,armv8_pmuv3/l2d_tl,armv8_pmuv3/l2d_tlb_refil,armv8_pmuv3/l3d_cach,armv8_pmuv3/l3d_cache_allocat,armv8_pmuv3/l3d_cache_refil,armv8_pmuv3/l3d_cache_w,armv8_pmuv3/mem_acces
0.09,49593554.0,30457714.0,2432695.0,10648326.0,516203.0,12212766.0,11090881.0,66752089.0,49886061.0,20299535.0,217055.0,130061.0,21823779.0,180929.0,18413338.0,974165.0,15538521.0,212235.0,1533279.0,1144.0,459740.0,693348.0,455772.0,5318.0,1461801.0,711465.0,61036.0,0.0,20600881.0
0.18,87648448.0,39989461.0,4380339.0,10005305.0,501494.0,22663394.0,21268711.0,107512099.0,88131508.0,29279441.0,444361.0,194636.0,31377525.0,402337.0,26195972.0,968469.0,18428551.0,266804.0,2068487.0,784.0,415823.0,876929.0,725205.0,4884.0,1868341.0,901188.0,33505.0,0.0,29447111.0
0.38,87437608.0,50039625.0,4741923.0,15920588.0,727037.0,21151828.0,19137405.0,112168448.0,87290249.0,34519784.0,384188.0,189156.0,37086374.0,400536.0,29701482.0,1652418.0,25577125.0,416229.0,2562373.0,792.0,720297.0,1176582.0,893007.0,12305.0,2430910.0,1169209.0,53797.0,0.0,34522439.0
0.39,62234360.0,38026143.0,4038044.0,12230110.0,599267.0,15208016.0,13614346.0,82228122.0,62016475.0,25386256.0,268148.0,150329.0,27447430.0,282900.0,22308740.0,1166474.0,19134225.0,280174.0,1850681.0,1047.0,556706.0,878057.0,645827.0,12383.0,1805507.0,884124.0,77745.0,0.0,25491601.0
0.48,87268743.0,40561864.0,4232715.0,8880359.0,457899.0,20858501.0,19463252.0,106418676.0,87635863.0,33998148.0,265826.0,231665.0,35854896.0,262002.0,27098774.0,755179.0,21226104.0,201759.0,1591719.0,3960.0,303932.0,718640.0,526541.0,9055.0,1444818.0,674872.0,106911.0,0.0,33709024.0
0.5700000000000001,69747390.0,39546124.0,5973413.0,10698875.0,519519.0,16977772.0,15241039.0,88667475.0,69226152.0,27578989.0,267089.0,160178.0,29035847.0,356292.0,23011814.0,977415.0,18404040.0,245780.0,1688066.0,3464.0,446804.0,781667.0,629200.0,12947.0,1565402.0,769989.0,100264.0,0.0,25503535.0
0.43,73968900.0,28081249.0,6189531.0,2591648.0,121667.0,14404912.0,13758959.0,79800835.0,74538311.0,24561121.0,166787.0,100274.0,25524467.0,382844.0,18499148.0,411802.0,11632970.0,156404.0,735277.0,68.0,71997.0,170566.0,539334.0,4505.0,406618.0,181242.0,36780.0,0.0,23923181.0
0.47,66573406.0,27871635.0,5615174.0,3567773.0,175379.0,15569058.0,14774007.0,74441896.0,66168863.0,24734224.0,198705.0,111277.0,26703692.0,420881.0,18135762.0,419368.0,12684535.0,164849.0,854255.0,0.0,92693.0,200927.0,618319.0,10478.0,480711.0,238623.0,63129.0,0.0,24784939.0
0.51,73598336.0,27837481.0,5820884.0,2407439.0,86661.0,16880510.0,16372963.0,78895355.0,74760172.0,27549373.0,146501.0,89695.0,28105908.0,411623.0,18873133.0,486143.0,12328702.0,186316.0,760604.0,0.0,46174.0,113768.0,595331.0,5621.0,307622.0,141161.0,37253.0,0.0,27721793.0
0.8400000000000001,101017786.0,42015736.0,9941642.0,4768943.0,212850.0,23530408.0,22263362.0,111759245.0,101442753.0,37672483.0,287524.0,156367.0,39580198.0,626394.0,26730129.0,647214.0,18076721.0,249106.0,1226920.0,0.0,133099.0,265158.0,890442.0,18003.0,628848.0,302533.0,103226.0,0.0,38141479.0
0.97,96647966.0,42170478.0,10005035.0,5453207.0,217840.0,22409488.0,21252147.0,107967416.0,97956786.0,36679261.0,244318.0,156675.0,38797252.0,553494.0,25805375.0,645678.0,18511359.0,251084.0,1072623.0,0.0,110150.0,197834.0,865607.0,25984.0,476880.0,298846.0,128569.0,0.0,37421640.0
0.75,101792897.0,28173637.0,6082856.0,520260.0,4306.0,2566869.0,3277090.0,105711456.0,105991459.0,9624592.0,12938.0,7755.0,11313967.0,30668.0,18276586.0,25653.0,570453.0,3354.0,49526.0,0.0,9673.0,20516.0,34151.0,123.0,18126.0,8559.0,15397.0,0.0,9911179.0
0.79,106959466.0,28758316.0,6737860.0,98948.0,4030.0,2619970.0,2602539.0,107148638.0,106627942.0,9841086.0,11766.0,3233.0,9906516.0,30576.0,18519374.0,7807.0,568548.0,453.0,55007.0,0.0,2055.0,8909.0,26714.0,82.0,76565.0,7993.0,8789.0,0.0,9874138.0
3.08,78042525.0,101225350.0,82634589.0,2582528.0,229951.0,15965747.0,14340535.0,88155969.0,73658171.0,29050637.0,845552.0,483992.0,30158817.0,503071.0,16811100.0,24217.0,3759537.0,1816.0,2418668.0,60.0,646586.0,1358114.0,592097.0,189507.0,2877837.0,1460181.0,1137199.0,0.0,28254410.0
0.97,60557956.0,31408211.0,9128678.0,633425.0,26219.0,12335755.0,11198438.0,66619527.0,68510619.0,28160632.0,107345.0,68028.0,22731608.0,42160.0,16972802.0,2935.0,12323826.0,363.0,219799.0,0.0,78610.0,130477.0,61252.0,26555.0,288617.0,99790.0,152053.0,0.0,24867307.0
1.01,90788271.0,29293326.0,6432558.0,731785.0,9437.0,7272735.0,7907435.0,92167896.0,94850357.0,15713977.0,53268.0,9593.0,22283377.0,36569.0,17861465.0,30341.0,6278728.0,6276.0,129487.0,171.0,34519.0,55424.0,43256.0,10346.0,98904.0,52962.0,41821.0,0.0,18925906.0
3.27,112366512.0,73337002.0,38456883.0,5566323.0,264023.0,13064857.0,12111752.0,117868246.0,97503576.0,26704877.0,716870.0,461036.0,33736491.0,495297.0,25314121.0,421311.0,9276686.0,65548.0,2152427.0,1040.0,552554.0,1206961.0,614799.0,108018.0,2602951.0,1315302.0,590849.0,0.0,28132015.0
