workload,model,frequency,horizon,timesteps,suite,het_prob,status,rmse,max,mpe,exp_var,mape,r2_score,train_rmse,train_max,train_mpe,train_exp_var,train_mape,train_r2_score
aligned_dacapo_avrora_1.0GHz_cpu16,dt,1.0,1,5,dacapo,0.2,Success,2564243.0460883994,5564851.327433627,14.246345676227147,-0.16474478926217495,14.719631922108208,-2.649804032636173,4333713.572892861,18953756.904761903,-37.548032452905275,0.22504834579796973,58.918479643194004,0.22504834579796973
aligned_dacapo_avrora_1.0GHz_cpu16,dt,1.0,5,5,dacapo,0.2,Success,2357240.111739736,8151144.736842105,12.253584797286736,-0.19242871960938063,12.926040470622677,-2.0917641406815575,4403381.947017546,18953756.904761903,-38.46511039176426,0.20135189032387935,59.683024686225224,0.2013518903238793
aligned_dacapo_avrora_1.0GHz_cpu16,dt,1.0,10,5,dacapo,0.2,Success,2450721.8253913447,8151144.736842105,12.967023493782872,-0.22445700541346952,13.554127766522571,-2.341522933737566,4503382.655681361,18953756.904761903,-39.7304562370077,0.16521510607850493,61.67038785188436,0.16521510607850493
aligned_dacapo_avrora_1.0GHz_cpu16,mlp,1.0,1,5,dacapo,0.2,Success,1712521.9669591298,4908842.0,3.6252521594814353,-0.4068761738092006,9.425147445959324,-0.6278840794673708,,,,,,
aligned_dacapo_avrora_1.0GHz_cpu16,mlp,1.0,5,5,dacapo,0.2,Success,1831492.3812315597,5272885.0,5.0746367277877455,-0.46114058947732844,10.196884753141859,-0.8657728175243559,,,,,,
aligned_dacapo_avrora_1.0GHz_cpu16,mlp,1.0,10,5,dacapo,0.2,Success,1786047.3470767557,5279747.0,5.761047467073698,-0.2556955385466958,9.86121288559131,-0.7748847403123397,,,,,,
aligned_dacapo_avrora_1.0GHz_cpu16,lstm,1.0,1,5,dacapo,0.2,Success,1714426.587287208,4448284.0,6.38293487490584,-0.054264888515435095,9.122579774762018,-0.6315070697890619,,,,,,
aligned_dacapo_avrora_1.0GHz_cpu16,lstm,1.0,5,5,dacapo,0.2,Success,1878951.5025461349,4934781.0,8.07048095738354,-0.02457827491456439,10.052086864984618,-0.9640523490250701,,,,,,
aligned_dacapo_avrora_1.0GHz_cpu16,lstm,1.0,10,5,dacapo,0.2,Success,1830525.2954153067,4945473.0,6.654473745236016,-0.20282398558964143,10.029557042695947,-0.8644378516829978,,,,,,
aligned_dacapo_avrora_1.0GHz_cpu16,transformer,1.0,1,5,dacapo,0.2,Success,1766019.8691716543,4629427.0,5.737728320062565,-0.24905576655091544,9.478400322649305,-0.7311804726245734,,,,,,
